scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,8,2,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,2,INTEGRATED,benchmark_elapsed_ms,40,7243.856,7166.185,6047.639,8620.243,658.116,MEASURED
APPLICATION,8,2,INTEGRATED,benchmark_throughput,40,2482158.451,2489663.583,2069690.120,2950114.866,218354.657,MEASURED
APPLICATION,8,2,INTEGRATED,mean_queue_wait_us,40,8728.605,8621.236,1032.307,20868.851,5809.983,MEASURED
APPLICATION,8,2,INTEGRATED,mean_completion_latency_us,40,13778.528,14109.263,3588.451,25824.391,6009.765,MEASURED
APPLICATION,8,2,INTEGRATED,mean_pipeline_serial_wait_us,40,154402.950,164423.220,208.432,360184.166,99517.111,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase3_us,40,4951.134,4820.835,2419.003,8157.747,1200.164,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase4_us,40,12565.636,12601.620,6743.817,20154.169,2843.899,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase5_us,40,14587.811,14891.396,7629.531,21857.065,2569.151,MEASURED
APPLICATION,8,2,INTEGRATED,mean_phase6_us,40,13294.330,13332.883,7760.595,19761.247,2689.015,MEASURED
APPLICATION,8,4,BASELINE,benchmark_elapsed_ms,40,6747.580,6859.350,5684.913,7470.772,440.697,MEASURED
APPLICATION,8,4,BASELINE,benchmark_throughput,40,2655828.844,2601013.656,2388137.641,3138347.239,184984.245,MEASURED
APPLICATION,8,4,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,4,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,4,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,4,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,4,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,4,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,4,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,8,4,INTEGRATED,benchmark_elapsed_ms,40,7129.173,7106.745,5954.698,8024.896,486.480,MEASURED
APPLICATION,8,4,INTEGRATED,benchmark_throughput,40,2514289.357,2510495.006,2223235.183,2996160.520,176907.026,MEASURED
APPLICATION,8,4,INTEGRATED,mean_queue_wait_us,40,5978.685,5406.954,1296.789,12417.732,3265.182,MEASURED
APPLICATION,8,4,INTEGRATED,mean_completion_latency_us,40,12241.793,12648.474,5318.691,18160.845,3591.002,MEASURED
APPLICATION,8,4,INTEGRATED,mean_pipeline_serial_wait_us,40,157191.097,156056.558,203.788,346956.983,104464.688,MEASURED
APPLICATION,8,4,INTEGRATED,mean_phase3_us,40,6134.207,5987.215,3625.867,8549.858,1358.265,MEASURED
APPLICATION,8,4,INTEGRATED,mean_phase4_us,40,13227.107,13459.171,10381.520,17748.253,1685.578,MEASURED
APPLICATION,8,4,INTEGRATED,mean_phase5_us,40,16266.292,16615.262,12399.333,19451.013,1730.290,MEASURED
APPLICATION,8,4,INTEGRATED,mean_phase6_us,40,14313.522,14462.716,10533.464,18410.812,1812.343,MEASURED
RUN,1,1,BASELINE,aggregate_throughput,5,4861095.675,4873015.263,4770089.636,4925065.871,58262.059,MEASURED
RUN,1,1,BASELINE,group_makespan_ms,5,3670.633,3661.230,3622.537,3740.230,44.315,MEASURED
RUN,1,1,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,1,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,1,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,1,BASELINE,max_queue_depth,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,1,BASELINE,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,1,BASELINE,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,1,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,1,1,INTEGRATED,aggregate_throughput,5,4783601.926,4774138.295,4747739.989,4832753.758,32225.806,MEASURED
RUN,1,1,INTEGRATED,group_makespan_ms,5,3729.800,3737.058,3691.732,3757.837,25.040,MEASURED
RUN,1,1,INTEGRATED,runtime_cpu_percent,5,22.340,22.496,21.950,22.648,0.315,MEASURED
RUN,1,1,INTEGRATED,runtime_rss_kb,5,5600.000,5596.000,5528.000,5736.000,81.927,MEASURED
RUN,1,1,INTEGRATED,runtime_vms_kb,5,81871.200,81876.000,81852.000,81876.000,10.733,MEASURED
RUN,1,1,INTEGRATED,max_queue_depth,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,1,INTEGRATED,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,1,1,INTEGRATED,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
