variant,application_count,phase,metric,count,mean,median,min,max,stddev,status
SUBPROCESS_SERIAL_BASELINE,1,phase5,aggregate_throughput,15,4859420.438,4847487.208,4642409.358,4997435.845,136139.918,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,runtime_cpu_percent,15,23.095,23.324,21.694,24.567,1.160,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase6,serial_wait_us,15,221.198,220.437,183.479,287.989,27.676,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,parent_prepare_us,15,47.451,47.383,33.112,62.966,9.467,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,fork_wait_wall_us,15,5496.085,4922.013,3888.196,8044.970,1341.160,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,child_profiled_total_us,15,692.494,659.352,504.032,1226.620,200.541,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,startup_uninstrumented_residual_us,15,4803.590,4388.791,3229.389,6818.350,1218.209,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,1,phase6,file_io_us,15,199.753,190.914,138.319,274.619,38.065,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,result_parse_us,15,91.298,77.255,56.590,244.976,45.803,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,total_phase_us,15,5595.554,5036.663,3970.798,8170.226,1354.010,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,pipeline_total_us,15,53459.130,55720.566,45293.363,61731.299,6140.940,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,pipeline_service_rate_apps_sec,15,56.829,53.840,48.598,66.235,6.660,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,aggregate_throughput,15,4859420.438,4847487.208,4642409.358,4997435.845,136139.918,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,runtime_cpu_percent,15,23.095,23.324,21.694,24.567,1.160,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,2,phase4,serial_wait_us,30,9358.459,7458.940,157.146,26212.284,9528.714,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,parent_prepare_us,30,54.090,54.230,35.298,94.942,14.084,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,fork_wait_wall_us,30,4998.068,4763.434,3423.001,8357.082,1095.508,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,child_profiled_total_us,30,381.987,336.717,224.035,1020.807,154.605,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,startup_uninstrumented_residual_us,30,4616.081,4431.892,3185.888,7877.372,1002.983,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,2,phase4,file_io_us,30,473.787,455.906,288.070,719.442,113.365,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SUBPROCESS_SERIAL_BASELINE,2,phase4,total_phase_us,30,5131.439,4869.567,3537.237,8490.828,1127.601,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,pipeline_total_us,30,108081.043,106982.540,91643.309,123929.537,12367.715,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,pipeline_service_rate_apps_sec,30,56.229,56.084,48.415,65.471,6.487,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase4,aggregate_throughput,30,9927039.499,9849866.359,9491567.358,10719526.132,440960.110,MEASURED
