workload,mode,metric,count,mean,median,min,max,stddev,status
cold,INTEGRATED,queue_wait_us,5,421.949,357.689,74.000,813.307,364.037,MEASURED
cold,INTEGRATED,worker_execution_us,5,3334.089,2606.497,2254.875,6531.882,1798.708,MEASURED
cold,INTEGRATED,phase3_us,5,3328.219,2600.677,2249.640,6525.424,1798.332,MEASURED
cold,INTEGRATED,pipeline_serial_wait_us,5,260.513,272.417,213.546,289.302,30.361,MEASURED
cold,INTEGRATED,phase4_us,5,7246.443,4832.929,4237.846,14290.550,4265.517,MEASURED
cold,INTEGRATED,phase5_us,5,8130.613,5731.427,4117.447,18189.123,5708.848,MEASURED
cold,INTEGRATED,phase6_us,5,6173.918,5414.087,3685.318,12598.359,3691.342,MEASURED
cold,INTEGRATED,coordinator_overhead_us,5,1130.513,989.995,679.915,1987.887,501.445,MEASURED
cold,INTEGRATED,completion_latency_us,5,3826.599,2743.191,2605.457,7409.968,2052.177,MEASURED
cold,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
cold,INTEGRATED,runtime_cycle_total_us,5,121207.298,118766.398,104439.967,145983.751,16808.492,MEASURED
cold,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
cold,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
cold,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
cold,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
cold,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
mixed,BASELINE,benchmark_elapsed_ms,5,215.585,217.515,197.015,240.728,18.210,MEASURED
mixed,BASELINE,benchmark_throughput_ops_sec,5,9329512.778,9194779.970,8308130.411,10151486.779,777461.548,MEASURED
mixed,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,benchmark_cpu_percent,5,182.222,181.853,177.704,187.623,3.542,MEASURED
mixed,BASELINE,benchmark_rss_kb,5,10067.200,10056.000,10052.000,10116.000,27.335,MEASURED
mixed,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
mixed,INTEGRATED,benchmark_elapsed_ms,5,259.798,256.713,216.984,336.502,47.410,MEASURED
mixed,INTEGRATED,benchmark_throughput_ops_sec,5,7885501.375,7790812.417,5943492.972,9217286.552,1294242.701,MEASURED
mixed,INTEGRATED,runtime_cpu_percent,5,57.618,57.044,48.818,65.808,6.769,MEASURED
mixed,INTEGRATED,runtime_rss_kb,5,4535.200,4564.000,4240.000,4688.000,173.076,MEASURED
mixed,INTEGRATED,runtime_vms_kb,5,154614.400,154620.000,154592.000,154620.000,12.522,MEASURED
mixed,INTEGRATED,benchmark_cpu_percent,5,177.765,181.457,158.228,188.599,12.197,MEASURED
mixed,INTEGRATED,benchmark_rss_kb,5,10081.600,10056.000,10056.000,10184.000,57.243,MEASURED
mixed,INTEGRATED,discovery_us,5,53270.636,54175.631,41370.453,71617.739,11755.248,MEASURED
mixed,INTEGRATED,queue_wait_us,5,549.004,324.024,81.104,1669.851,660.297,MEASURED
mixed,INTEGRATED,worker_execution_us,5,2587.815,2659.207,2235.815,2982.776,310.622,MEASURED
mixed,INTEGRATED,phase3_us,5,2582.326,2653.876,2231.953,2976.258,309.710,MEASURED
